"Periodo","Gasto_federal_en_investigación_científica_y_desarrollo_experimental_como_proporción_del_PIB",
"2025","0.20521874903853",
"2024","0.214718660281718",
"2023","0.214646717039168",
"2022","0.200948598746211",
"2021","0.211444137221064",
"2020","0.225210650049736",
"2019","0.211879471739687",
"2018","0.23142252705741",
"2017","0.242879100751918",
"2016","0.290168797329144",
"2015","0.328762775929027",
"2014","0.338865864682142",
"2013","0.310084772185878",
"2012","0.291833555547501",
