"Periodo","Proporción_de_las_pequeñas_industrias_que_han_obtenido_un_préstamo_o_una_línea_de_crédito",
"2023","7.6040364062963",
"2018","9.1891739488231",
"2013","15.6416260028849",
"2008","27.8757293896815",
